,AAPL,ABBV,0ABT,0ACN,ADBE,0AMD,AMGN,AMZN,AVGO,0BAC,0BMY,COST,0CRM,CSCO,0CVX,0DHR,0DIS,GOOG,00HD,0HON,INTC,0JPM,00KO,0LIN,0LLY,00MA,0MCD,META,0MRK,MSFT,0NEE,NFLX,0NKE,NVDA,ORCL,0PEP,0PFE,00PG,00PM,0TMO,TSLA,0TXN,0UNH,0UPS,000V,00VZ,0WFC,0WMT,0XOM
AAPL,0.0,0.9549661939203015,0.830980957206401,0.8268784296008952,0.8257992795604397,0.8151869062471597,1.0381993886802772,0.7050035458463625,0.7525015232253031,0.889593240450881,0.9834603298225699,0.9788002229470139,0.7980365254990753,0.7711262741924289,0.945899644950309,0.8560988732388422,1.0286675457134455,0.79253001050959,0.789469252074891,0.7705597256195108,0.7524830620038366,0.8802695025829756,1.1806310069018566,0.8977101381298247,1.091003422419379,0.8356129201466715,1.16045927987634,0.9004561790729054,1.0855759071000592,0.7744045907607473,1.3896693578070436,0.8875822488854619,0.7912778668718162,0.7100075010995897,0.8236615948763759,1.0942243806769523,0.9900736947797734,1.1818646523107093,1.2931080185824124,0.8312571495770738,0.9955737598579675,0.7348439339336632,1.0710631016757681,0.8193331103667209,0.8207205392343343,1.2352173984576014,0.9217204334772892,1.1004505307746828,0.8765955506290223
ABBV,0.9549661939203015,0.0,0.9164791139284387,0.925852503196147,0.9500241179973353,0.9451780164949233,0.8877010620015402,0.9809433275145039,0.973753186162963,1.0118541617427703,0.8643089320337475,0.9468607120887889,0.8837029520521182,0.9227512338623337,0.9625141373980582,0.9137755879509903,0.9363156828843421,0.8952366476948582,0.904317560692136,1.0025027163809417,0.9710717989829497,1.0206346356890548,0.996510665063201,0.9017924705343768,0.9458139758116892,1.0305039816863724,0.9937901533750553,0.9222117869848402,0.8987752005250386,1.0017930002059445,1.0933752464622541,0.947890051867579,0.9116631725046361,1.000619068282617,0.9228388758482609,0.9589515335990604,0.8504643638959908,0.9867233646840686,1.0903044930922507,0.8888613865860227,1.0108691284036795,1.0040773831069223,0.9085035911986932,0.9059081914114807,1.0279208384776026,0.9497073742799029,0.9576065071197345,0.970432630759609,0.9754879733221716
0ABT,0.830980957206401,0.9164791139284387,0.0,0.7259960250240611,0.7832216162873011,0.8946596002412321,1.0166044542406372,0.7935518079311843,0.9320982800221711,0.9932350346209221,1.0211431677139762,0.9457154007396407,0.7854440293265801,0.7996195378179453,1.025982885643298,0.689887611767275,1.066604684878134,0.9019661718801688,0.8614880381967092,0.8207256887857953,0.9771200066956514,0.9807703043374192,1.1165176901652831,0.8324343099254115,0.9929992953747439,0.7706706367459207,1.044898102978738,0.9654550285332906,0.8473349226720657,0.7254222675067816,1.2875664555560298,0.9714110484030264,0.869599035872092,0.8657377853385259,0.8834591176368812,1.0647801504436694,0.8464355192609182,1.131257004724825,1.3322188905780663,0.6595795209322329,1.1139100615208162,0.9030372686216512,0.9994592544192893,0.969377216289946,0.7706209218590124,1.1767077693487136,0.9956837609186476,1.125066879958749,1.000113660437751
0ACN,0.8268784296008952,0.925852503196147,0.7259960250240611,0.0,0.7574591760446534,0.8769831251567982,1.0413252498584888,0.8021627631783947,0.9174433918259468,1.0035839963367916,1.0212796741510912,0.8857800483393613,0.7798644353983213,0.7902723958183692,0.9984204796224185,0.7801905049923509,0.9530993983325765,0.8614505002240183,0.8165588087241687,0.7996371571387327,0.9674608933640072,0.9676323501733463,1.05899297721684,0.8150847121747918,1.0373049343310314,0.6959739478184712,0.9976747282231242,0.9819255353595512,0.9382208865040514,0.7170860749337552,1.2339903613121945,0.9350940602559276,0.8228193204020907,0.9045817172873942,0.8524769740638894,0.9917363652493733,0.95422569595692,1.019870734917371,1.2863969663532213,0.7681987578678474,1.0749339351051277,0.8987659230863375,1.0504328608290998,0.9280880333001255,0.6782512818092565,1.1055061502089525,1.0003560569929058,1.0365353858398814,0.9714395957154184
ADBE,0.8257992795604397,0.9500241179973353,0.7832216162873011,0.7574591760446534,0.0,0.8277140366480074,1.0409371189896348,0.7372507347503242,0.9576635305283293,1.000421948455502,1.0045472946823932,0.9267151689359435,0.6393293728140873,0.805331312388768,0.9641192625724329,0.8326245359918628,1.036398717739524,0.7853809256355738,0.883147964093412,0.8211019220660561,0.9408319219188629,0.9962047349765227,1.0997973779185684,0.9097927377083467,0.9988999899093058,0.6730915982556752,1.0805620431757808,0.9101603088292602,0.9860935766416745,0.6765698941467824,1.294651808381933,0.8198431964222367,0.8838214657892756,0.8496207754261247,0.8099726260390838,1.0315052691099185,0.9035427601587647,1.1259833605905518,1.332541616882687,0.8083629062355152,1.0465545582328974,0.8872439371094036,1.0362207024560024,0.9291885647169359,0.6898826660085384,1.1853012983627715,1.0047977490213897,1.0743469762948918,0.9141390951115713
0AMD,0.8151869062471597,0.9451780164949233,0.8946596002412321,0.8769831251567982,0.8277140366480074,0.0,1.0259733653140999,0.7669613923244456,0.8601175557081285,0.9546255517022803,0.9788524394983221,0.9167467367511838,0.841395232626904,0.838329859311849,0.8605004720825049,0.8821477509989053,0.9673244895873003,0.8199095056004712,0.8084116965703427,0.8904450623437639,0.8669056703816012,0.9636573773963193,1.102782402299402,0.8665377677940866,1.0066434695659554,0.8372754933012607,1.0496110886424326,0.8318479152852304,1.0458018989213926,0.8564521993303,1.268966088599169,0.8426957698972434,0.8792369486226218,0.7796428120127386,0.8696237450685265,1.008180396865389,0.9086881994730726,1.1077997257541312,1.249654619277704,0.8867016060786188,0.9625498137144203,0.8116086521867639,1.0267288253153677,0.855245490740114,0.8758560847939179,1.1079029111295695,0.9547172082412024,1.010907988995741,0.8635490008891887
AMGN,1.0381993886802772,0.8877010620015402,1.0166044542406372,1.0413252498584888,1.0409371189896348,1.0259733653140999,0.0,1.0927520307910572,0.993805962951236,1.0824602364652811,0.9281757737882262,0.9513946395985866,1.0474838925486734,1.009439513794015,0.9819139172396117,0.9417161489932884,0.9972512740053971,1.040543149118604,1.0446417922194586,1.1164400413847082,1.0629082526460785,1.1193327208368513,1.0460954234641984,0.9386416450855155,0.9018875585065997,1.1557511420279643,0.9851482421623075,1.001873772701114,0.8530256930663589,1.1310699298589977,1.1070497825406527,0.9891745088268425,1.046216433456534,1.0927841911018883,1.0389448183328238,1.064201804854342,0.8923910681672456,1.0429468664912052,1.056316782300601,0.9615518747244194,1.0034005035805382,1.0649193084564637,0.8832158394636751,1.0268513753010906,1.1116054244178069,0.9903561484451832,1.0103516297273958,1.0042131483848187,1.0561790117143914
AMZN,0.7050035458463625,0.9809433275145039,0.7935518079311843,0.8021627631783947,0.7372507347503242,0.7669613923244456,1.0927520307910572,0.0,0.8996989768952015,0.9218264139068291,1.0596030981562852,0.9451814654009196,0.7474852882737271,0.7769590092110114,0.9686029364293681,0.8553881964782961,1.0412397893299756,0.751233333198998,0.8039991000803902,0.7860208011618741,0.8906002310414167,0.9113011281134187,1.1773106611981166,0.9421139121272561,1.1112097338311266,0.7210930576861766,1.1341846987983473,0.81096796743296,1.0922180413886842,0.6700640824398795,1.3976006583747742,0.820171761700612,0.8177714173772641,0.7372097901865471,0.8154437386255563,1.0844124978701137,0.954037644485874,1.1992791105263225,1.3705171889189809,0.8208950767381834,1.071308271543272,0.80621421037267,1.0735937003587759,0.8661433410600193,0.7653669229746245,1.2317510583161866,0.9478992450298895,1.0822561906229713,0.9141618447226274
AVGO,0.7525015232253031,0.973753186162963,0.9320982800221711,0.9174433918259468,0.9576635305283293,0.8601175557081285,0.993805962951236,0.8996989768952015,0.0,0.8651357005784857,1.0161804723032448,0.9712386718700966,0.9413909666720395,0.8467115172845635,0.8894301542350413,0.9466925379748574,0.9573211825173202,0.8898471174264567,0.8735029000891483,0.8597309414381957,0.7460444031389982,0.8619593703694356,1.1489574843247967,0.9062336674038731,1.0777617423185986,0.9681935971001823,1.09542796994633,0.9401065639417765,1.1076833064896503,0.9318962995536713,1.361686816783344,0.9566663510338447,0.8600736273416714,0.7579704320334261,0.8514633288012204,1.114681000234981,1.0002804152348412,1.1639127213735854,1.2059952751655554,0.9497586996054577,0.9512123652657891,0.6769244464626339,1.05924176043752,0.8253276513076889,0.9504363188508366,1.17235815617399,0.8846471805693451,1.038683667313863,0.8762643349506151
0BAC,0.889593240450881,1.0118541617427703,0.9932350346209221,1.0035839963367916,1.000421948455502,0.9546255517022803,1.0824602364652811,0.9218264139068291,0.8651357005784857,0.0,1.0926781469583415,1.0355158912640339,0.9541389004162782,0.8903689119133604,0.9074482338939538,1.0145522705684749,1.0305170572840718,0.9010436444653894,0.8880871792001522,0.8001827976702586,0.8343488780278892,0.421103979467656,1.2728675856782519,0.9240908558390021,1.2063672960580984,1.080152804644544,1.2160618361874784,1.0867364962544788,1.2090344903960157,0.9683997208363453,1.5028419425822055,0.9665562888874265,0.8015672790106042,0.8194614913075811,0.8749999463510634,1.2281842751538041,1.062547641646513,1.2795578877439406,1.3022084762083803,0.9668122519985303,1.086768224811375,0.8296619776675876,1.0746922629584628,0.8368709052261815,1.013216143537982,1.2238628582173594,0.5719463118132804,1.080559284709511,0.7837139547541577
